Img_Name,Author
01 - The Seat on The Hill,Judy Moore
02 - Almost Dark,Andre Hundley
03 - Sunset over the sea,Sally Cook
04 - Warm and Inviting,Joan Banks
05 - Tromso,Ian Reece
06 - La Tour Eiffel,Garry Jones
07 - Don't Let the Sun Go Down On Me,John Horton
08 - Morton Corbett Castle at dusk,Julie Beddow
09 - Lighting up the Town,Joan Banks
10 - The last rays of light catch the mountain top,Sally Cook
11 - Bring On The Night,Andre Hundley
12 - After sunset - Llyn Peninsular,Garry Jones
13 - Sunlit Clouds,Ian Reece
14 - Attingham Evening,Judy Moore
15 - Afterglow,John Horton
16 - Clee Hill Sunset,Julie Beddow
