Img_Name,Author
01 - Hole in the Wall,Pete Anslow
02 - Where's Gerard,John Horton
03 - Much Wenlock Church,Ian Reece
04 - Conwy,Phil Simmons
05 - St Cybis Well,Judy Moore
06 - Hawkstone Park,Julie Beddow
07 - Cragside House,Joan Banks
08 - The Bridge of Iron,Garry Jones
09 - Rome from Palatine Hill,Mike Purnell
10 - Wood and Stone,Phil Simmons
11 - The Bridge in Infra Red,Ian Reece
12 - Athens,Garry Jones
13 - Looking up,Julie Beddow
14 - Chapter House at York Minster,Pete Anslow
15 - Haughmond Abbey,Joan Banks
16 - Marlboroughs back yard,John Horton
17 - Through a Window,Judy Moore
18 - Ephesus Amphitheatre,Mike Purnell
