Img_Name,Author
01 - Indispensable Fashion Accessory - The Umbrella,John Horton
"02 - Sand, Sea, Sky, Wind",Judy Moore
03 - It's Been Raining,Ian Reece
04 - Snow on the Yorkshire Moors,Joan Banks
05 - Wet Wales,Val Sturman
06 - Wet Walkies,Garry Jones
07 - Sunshine and Frost,Julie Beddow
08 - It’s Raining – Again,Joan Banks
09 - Misty Morning from Castle Walk,Mike Purnell
10 - Cloudy Weather,Ian Reece
11 - Light Clouds,Val Sturman
12 - Here Comes the Rain,Judy Moore
13 - Frosty Bridge,Garry Jones
14 - Northern Lights Over Tromso,Mike Purnell
15 - That Looks Threatening,John Horton
16 - Foggy Doggy,Julie Beddow
