Img_Name,Author
01 - Much Wenlock Town Farm,Joan Banks
02 - Saturday Market,John Horton
03 - Gateway to Shropshires County Town,Sue Poole
04 - Wenlock Olympic Torch,Graham Welsby
05 - Sunny Shifnal,Phillip Simmons
06 - Guildhall Window,Judy Moore
07 - Shifnal Train Station Exit,Joan Banks
08 - Butchers Row,John Horton
09 - Along by the river in Shrewsbury,Sue Poole
10 - Bridgnorth and an old friend,Graham Welsby
11 - Wenlock Windows,Judy Moore
12 - Shrewsbury,Margaret Hazeldine
