Img_Name,Author
01 - On Our Way,Judy Moore
02 - Boys Day Out,Andre Hundley
03 - Capturing a Ceiriog River walk,Sally Cook
04 - Yes it’s delicious – and it’s mine!,Joan Banks
05 - Did you bring the tea Gladys,Garry Jones
06 - A Grand Day Out,Russ Powney
07 - At the Dogs,Ian Reece
08 - A Day at the Beach,Andre Hundley
09 - In the Purple Patch,John Horton
10 - Ironbridge Canoeing,Joan Banks
11 - Climbing Hope Bowdler,Sally Cook
12 - Where are we going today,John Horton
13 - Kites,Garry Jones
14 - Cross Country,Judy Moore
15 - What To Have,Russ Powney
16 - Hodnet Hall Gardens,Ian Reece
