Img_Name,Author
01 - St Andrews Shifnal,Val Sturman
02 - Wenlock Priory,Judy Moore
03 - Closer to Heaven,Garry Jones
04 - Shadows,Sally Cook
05 - The doors are always open,Joan Banks
06 - Travel conference in church!,Julie Beddow
07 - Lighting the darkness,John Horton
08 - St Mary's Steeple,Mike Kinnear
09 - Gateway to heaven,Graham Pickwell
10 - St Conans Kirk,Ian Reece
11 - Lincoln,Val Sturman
12 - Holy Island,Russ Powney
"13 - St Peter's, Melverley",Judy Moore
14 - Whitby Abbey,Garry Jones
15 - Hindu Temple - Tividale,John Horton
16 - Evening Sun on a Country Church,Sally Cook
17 - Step inside  ,Joan Banks
18 - Up in the eaves,Julie Beddow
19 - So Two-Faced,Mike Kinnear
20 - Iron gravestones,Graham Pickwell
21 - In Memoriam,Ian Reece
