Img_Name,Author
01 - Inese,Garry Jones
02 - Let’s go fly a kite,Julie Beddow 
03 - Fizzy Bubbles,Pete Anslow
04 - Evening Leisure,Ian Reece
05 - New Zealand Sheepdog,Mike Purnell
06 - Long lost industry,John Horton
07 - Floating,Joan Banks
08 - Early Riser,Pete Anslow
09 - Lavender Sunset,Julie Beddow 
10 - On the rocks,Ian Reece
11 - Spookey,Mike Purnell
12 - Turbine,Garry Jones
13 - Leaving Headstone Tunnel,John Horton
14 - Fiery night sky,Joan Banks
