Img_Name,Author
01 - Wedding Footwear,Sue Poole
02 - Posh Boots,Chris Littlewood
03 - Ive Earned This,Ian Reece
04 - Footwear,Margaret Hazeldine
05 - Boot Legging,Joan Banks
06 - Best Foot Forward,Judy Moore
07 - Tap Shoes,Sue Poole
08 - Footware and Cobbles,Mike Purnell
09 - Necessary Equipment,Ian Reece
10 - Rhapsody in Blue,John Horton
11 - Job Done,Joan Banks
12 - Spit and Polish,Judy Moore
13 - Are You Looking at My Masters Odd Trainers,Mike Purnell
14 - In the Red,John Horton
