Img_Name,Author
01 - Evening Light,Judy Moore
02 - Under the spreading Chestnut tree,John Horton
"03 - A damp, misty day",Joan Banks
04 - Anyone For A Swim,Pete Anslow
05 - Waiting to be harvested,Ian Reece
06 - Harvest,Garry Jones
07 - Leaf me alone!,Julie Beddow
08 - Loving the weather,Joan Banks
09 - Turnover An Old Leaf,Pete Anslow
10 - Late November & it’s dropping cold,Julie Beddow
11 - Leaf litter,John Horton
12 - Leafy walk,Garry Jones
13 - Autumn colours at Bridgnorth Golf Club,Mike Purnell
14 - Autumn Web,Ian Reece
15 - Reflective Moment,Judy Moore
16 - In Sight of a Pint,Mike Purnell
