Img_Name,Author
01 - Empty packets,John Horton
02 - The Art Gallery ,Julie Beddow
03 - Digbeth,Russ Powney
04 - My recycling bin,Sally Cook
05 - There's nothing on the tele,Garry Jones
06 - It’s a rubbish mosaic,Joan Banks
07 - Recycled Metal,Ian Reece
08 - Time’s Running Out,Andre Hundley
09 - Shavings,Sally Cook
10 - We’ll soon fill this,Joan Banks
11 - Recycled bottles on display,Julie Beddow
12 - Butt Ends,John Horton
13 - Dumping Ground,Andre Hundley
14 - Blossom Hill,Garry Jones
15 - Scrapyard,Russ Powney
16 - Waste Material,Ian Reece
